path,status,final_url,title,canonical_url,sitemap_present,inbound_internal_link_count,inbound_internal_link_examples,fetch_error
/,200,https://suyogjoshi.com/,"Suyog Joshi | AI Systems, Software Architecture & Real-World Engineering",https://suyogjoshi.com/,True,66,/ | /about/ | /card/ | /consulting/ | /contact/,
/about/,200,https://suyogjoshi.com/about/,About | Suyog Joshi,https://suyogjoshi.com/about/,True,65,/ | /about/ | /consulting/ | /contact/ | /newsletter/,
/card/,200,https://suyogjoshi.com/card/,Digital Card | Suyog Joshi,https://suyogjoshi.com/card/,True,1,/card/,
/consulting/,200,https://suyogjoshi.com/consulting/,Consulting | Suyog Joshi,https://suyogjoshi.com/consulting/,True,2,/ | /consulting/,
/contact/,200,https://suyogjoshi.com/contact/,Contact | Suyog Joshi,https://suyogjoshi.com/contact/,True,65,/ | /about/ | /consulting/ | /contact/ | /newsletter/,
/newsletter/,200,https://suyogjoshi.com/newsletter/,Software Signal Weekly | Suyog Joshi,https://suyogjoshi.com/newsletter/,True,5,/ | /consulting/ | /newsletter/ | /website-services/ | /writing/,
/privacy/,200,https://suyogjoshi.com/privacy/,Privacy Notice | Suyog Joshi,https://suyogjoshi.com/privacy/,True,19,/ | /about/ | /consulting/ | /contact/ | /newsletter/,
/research/ai-teaching-workflows/,200,https://suyogjoshi.com/research/ai-teaching-workflows/,AI Teaching Workflows Research Survey | Suyog Joshi,https://suyogjoshi.com/research/ai-teaching-workflows/,True,1,/research/ai-teaching-workflows/,
/search/,200,https://suyogjoshi.com/search/,Search Public Content | Suyog Joshi,https://suyogjoshi.com/search/,True,1,/writing/,
/support/,200,https://suyogjoshi.com/support/,Support the Work | Suyog Joshi,https://suyogjoshi.com/support/,True,60,/ | /about/ | /consulting/ | /contact/ | /newsletter/,
/systems/,200,https://suyogjoshi.com/systems/,Systems | Suyog Joshi,https://suyogjoshi.com/systems/,True,65,/ | /about/ | /consulting/ | /contact/ | /newsletter/,
/systems/ai-dev-orchestrator/,200,https://suyogjoshi.com/systems/ai-dev-orchestrator/,AI Dev Orchestrator | Suyog Joshi,https://suyogjoshi.com/systems/ai-dev-orchestrator/,True,10,/ | /consulting/ | /systems/ | /systems/ai-workflow-lab/ | /training/engineering-reliable-ai-systems/,
/systems/ai-native-learning-platform/,200,https://suyogjoshi.com/systems/ai-native-learning-platform/,AI-native Learning Platform | Suyog Joshi,https://suyogjoshi.com/systems/ai-native-learning-platform/,True,4,/ | /systems/ | /training/applied-data-analysis-with-python/ | /training/python-foundations-for-data-science/,
/systems/ai-workflow-lab/,200,https://suyogjoshi.com/systems/ai-workflow-lab/,AI Workflow Lab | Suyog Joshi,https://suyogjoshi.com/systems/ai-workflow-lab/,True,10,/systems/ | /systems/ai-workflow-lab/ingestion-comparator/ | /systems/ai-workflow-lab/invoice-review-demo/ | /systems/ai-workflow-lab/knowledge-markdown-demo/ | /systems/ai-workflow-lab/vendor-onboarding-rag-demo/,
/systems/ai-workflow-lab/ingestion-comparator/,200,https://suyogjoshi.com/systems/ai-workflow-lab/ingestion-comparator/,Document Ingestion Comparator | Suyog Joshi,https://suyogjoshi.com/systems/ai-workflow-lab/ingestion-comparator/,True,1,/systems/ai-workflow-lab/,
